Trading Code,Company Name,Last Trading Price,Closing Price,Last Update,Day's Range,Change*,Day's Value (mn),Change(%),52 Weeks' Moving Range,Opening Price,Day's Volume (Nos.),Adjusted Opening Price,Day's Trade (Nos.),Yesterday's Closing Price,Market Capitalization (mn),Authorized Capital (mn),Debut Trading Date,Paid-up Capital (mn),Type of Instrument,Face/par Value,Market Lot,Total No. of Outstanding Securities,Sector,Address,Contact Phone,Fax,E-mail,Web Address,Company Secretary Name,Cell No.,Telephone No.,E-mail
1JANATAMF,First Janata Bank Mutual Fund,6.20,6.20,3:45 PM,6.10 - 6.30,0,0.82,0.00%,5.70 - 10.00,6.10,"132,657.00",6.20,104,6.20,"1,797.525",-,,"2,899.23",Mutual Fund,10.0,1,"289,923,349",Mutual Funds,"Sky View Henolux Center, Office No: D-6, 6th Floor, 3/1, Purana Paltan, Dhaka-1000","01302-399597, 01309-402782",88 02 9513138,info@racebd.com,http://www.racebd.com,,,,
1STPRIMFMF,Prime Finance First Mutual Fund,17.30,17.30,3:45 PM,17.00 - 17.50,0.2,1.17,1.17%,15.60 - 24.40,17.00,"67,940.00",17.10,68,17.10,342.000,-,,200.00,Mutual Fund,10.0,1,"20,000,000",Mutual Funds,"Green City Edge (4th floor)rn89, Kakrail, Dhaka- 1000.",+88-02-8300412,+88-02-8300416,info@icbamcl.com.bd,http://www.icbamcl.com.bd,,,,
AAMRANET,aamra networks limited,38.70,38.70,3:45 PM,38.40 - 39.70,-0.4,23.37,-1.02%,34.70 - 64.50,38.40,"606,903.00",39.10,481,39.10,"2,308.263","1,000.00","02 Oct, 2017",590.35,Equity,10.0,1,"59,034,865",IT Sector,"Safura Tower (9th Floor)rn20 Kemal Ataturk AvenuernBanani, Dhaka-1213","8802-8832446, 8802-941100",,aamranet.sharedept@aamra.com.bd,http://www.aamra.com.bd,Syed Moniruzzaman,01713477405,8802-8832446 Ext-140,syed.moniruzzaman@aamra.com.bd
AAMRATECH,aamra technologies limited,31.10,31.10,3:45 PM,30.90 - 31.40,-0.4,29.37,-1.27%,26.40 - 46.60,30.90,"949,605.00",31.50,492,31.50,"1,922.910","1,000.00",,610.45,Equity,10.0,1,"61,044,757",IT Sector,"Safura Tower (9th Floor)rn20 Kemal Ataturk AvenuernBanani, Dhaka-1213","8802-9822146, 8802-8832446,8802-8832446",+88 02 9820605,aamratech.sharedept@aamra.com.bd,http://www.aamra.com.bd,Syed Moniruzzaman,01713477405,8802-8832446   Ext-140,syed.moniruzzaman@aamra.com.bd
ABB1STMF,AB Bank 1st Mutual fund,5.20,5.30,3:45 PM,5.20 - 5.40,0,0.37,0.00%,5.10 - 8.10,5.30,"70,410.00",5.20,19,5.20,"1,243.270",-,"29 Jan, 2012","2,390.90",Mutual Fund,10.0,1,"239,090,396",Mutual Funds,"Sky View Henolux Center, Office No: D-6, 6th Floor, 3/1, Purana Paltan, Dhaka-1000","01302-399597, 01309-402782",88 02 9361530,info@racebd.com,http://www.racebd.com,,,,
ABBANK,AB Bank Limited,9.90,9.90,3:45 PM,9.80 - 10.10,0,5.78,0.00%,9.80 - 17.30,9.90,"580,036.00",9.90,304,9.90,"8,523.047","15,000.00",,"8,609.14",Equity,10.0,1,"860,913,831",Bank,"The Skymark, 18 Gulshan Avenue, Gulshan-1, Dhaka-1212","+880-2-9560312, Ext. 271",+880-2-9555098,"info@abbl.com, cs@abbl.com",http://www.abbl.com,Md. Jasim Uddin ACS,+8801819145156,+880 9678555678,"juddin@abbl.com, cs@abbl.com"
ACFL,Aman Cotton Fibrous Limited,26.80,26.80,3:45 PM,26.80 - 27.20,-0.5,9.91,-1.83%,24.70 - 50.50,26.90,"369,372.00",27.30,244,27.30,"2,752.750","2,000.00","06 Aug, 2018","1,008.33",Equity,10.0,1,"100,833,333",Textile,"2, Ishakha Avenue, Sector # 6, UttararnDhaka-1230","+880-2-48961, 09612613000, +880 62552740",880-2-58950510,s.islam@amangroupbd.com,https://www.amancotton.com,"Shariful Islam, CMA-Inter",01728-272596,,s.islam@amangroupbd.com
ACI,ACI  Limited,274.00,274.00,3:45 PM,271.70 - 279.90,2.2,16.05,0.81%,264.70 - 351.20,271.70,"58,366.00",271.80,342,271.80,"19,726.371","1,500.00",,725.77,Equity,10.0,1,"72,576,788",Pharmaceuticals & Chemicals,"ACI Centre, 245 Tejgaon I/A, Dhaka - 1208","8878603,  9556254",8878619.,info@aci-bd.com,http://www.aci-bd.com,Md. Mostafizur Rahman,+880 1708467600,8878603 Ext. 100,mostafizur.rahman@aci-bd.com
ACIFORMULA,ACI Formulations Limited,159.00,159.00,3:45 PM,156.00 - 160.30,1.7,41.48,1.08%,146.30 - 225.90,160.30,"261,006.00",157.30,955,157.30,"7,432.425",500.00,,472.50,Equity,10.0,1,"47,250,000",Pharmaceuticals & Chemicals,"ACI Centre, 245 Tejgaon, Industrial Area, Dhaka-1208","8802 8878603, 9556254",8878619.,"info@aci-bd.com,",http://www.aci-bd.com/acifl/,Mohammad Mostafizur Rahman,+880 1708467600,8878603 Ext. 100,mostafizur.rahman@aci-bd.com
ACMELAB,The ACME Laboratories Limited,86.90,86.90,3:45 PM,85.60 - 88.50,0.7,10.14,0.81%,74.60 - 117.70,88.50,"117,049.00",86.20,305,86.20,"18,240.067","5,000.00","07 Jun, 2016","2,116.02",Equity,10.0,1,"211,601,700",Pharmaceuticals & Chemicals,"Court de la ACME, 1/4 Kallayanpur Mirpur Road, Dhaka-1207",+88 02 9004194-6,+88 02 9039399,cs@acmeglobal.com,http://www.acmeglobal.com,"Md. Arshadul Kabir, FCA","+88 01777 765233, 01937404568",+88 02 8091051-3 Ext-197,cs@acmeglobal.com
